Judge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HON'BLE MR. JUSTICE UDAY UMESH LALIT,11,10,12,12,0,2,13,9,26,1,1,39,0,4,1,3,2,10
HON'BLE MS. JUSTICE INDU MALHOTRA,7,11,14,3,0,2,19,11,18,1,1,36,4,2,1,1,1,6
HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,4,20,16,2,0,0,36,21,32,1,0,39,3,3,2,5,1,13
HON'BLE MR. JUSTICE VINEET SARAN,8,2,9,6,0,0,12,3,14,0,0,9,0,2,0,4,0,8
HON'BLE MR. JUSTICE A.M. KHANWILKAR,14,24,17,16,0,9,21,8,43,3,1,72,2,4,0,2,0,22
HON'BLE MR. JUSTICE AJAY RASTOGI,7,13,14,2,0,0,11,3,27,0,0,25,1,0,0,3,0,6
HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE,27,28,43,4,0,3,18,10,39,2,0,63,1,1,0,1,1,14
HON'BLE MR. JUSTICE N.V. RAMANA,5,5,17,0,1,0,8,2,48,1,0,30,1,1,0,3,1,14
HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,13,1,24,1,1,3,24,3,39,0,0,66,2,3,0,9,1,15
HON'BLE MR. JUSTICE S. ABDUL NAZEER,8,5,9,1,0,0,11,3,39,0,0,25,1,2,0,5,4,7
HON'BLE DR. JUSTICE D.Y. CHANDRACHUD,0,7,19,13,0,7,34,7,34,8,1,75,5,2,0,7,4,18
HON'BLE MR. JUSTICE HEMANT GUPTA,3,12,24,7,0,5,30,2,33,23,0,54,1,3,0,2,1,11
HON'BLE MR. JUSTICE ARUN MISHRA,16,8,15,4,0,0,17,2,12,0,2,25,1,6,0,3,0,16
HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,9,11,20,2,0,1,11,1,30,1,0,45,0,1,0,1,3,9
HON'BLE MR. JUSTICE K.M. JOSEPH,6,9,19,1,0,1,9,1,21,0,0,15,2,0,0,1,0,10
HON'BLE MR. JUSTICE ASHOK BHUSHAN,6,29,23,6,0,2,12,8,45,5,1,64,0,9,0,3,6,22
HON'BLE MR. JUSTICE A.K. SIKRI,3,23,20,4,0,0,11,6,19,3,1,24,1,5,0,3,3,7
HON'BLE MR. JUSTICE M.R. SHAH,10,8,15,2,0,1,17,5,39,3,0,30,2,2,0,6,2,17
HON'BLE MR. JUSTICE NAVIN SINHA,5,17,36,2,0,1,23,7,43,0,0,59,3,3,0,6,2,14
HON'BLE MR. JUSTICE L. NAGESWARA RAO,2,8,13,15,0,0,19,3,44,16,0,50,1,0,0,1,3,14
HON'BLE MRS. JUSTICE R. BANUMATHI,19,7,26,1,0,1,14,15,73,2,0,111,1,6,0,1,5,19
HON'BLE MR. JUSTICE R. SUBHASH REDDY,7,7,14,4,0,2,19,1,23,0,0,31,0,0,0,5,0,14
HON'BLE MR. JUSTICE DINESH MAHESHWARI,11,24,18,0,0,4,17,3,30,3,0,24,1,1,0,1,0,11
HON'BLE MS. JUSTICE INDIRA BANERJEE,4,10,15,2,0,1,12,5,30,2,0,22,2,2,0,0,2,18
HON'BLE MR. JUSTICE DEEPAK GUPTA,6,7,7,3,0,1,22,3,40,0,2,46,1,0,0,6,7,8
HON'BLE THE CHIEF JUSTICE,5,7,6,25,0,6,14,11,28,2,2,66,1,1,0,1,4,17
HON'BLE MR. JUSTICE J. CHELAMESWAR,1,2,0,0,0,1,2,2,6,0,1,4,0,1,0,1,0,3
HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,2,7,28,0,0,2,14,2,30,0,1,16,0,0,0,1,1,13
HON'BLE MR. JUSTICE SANJIV KHANNA,4,12,4,2,0,2,5,0,15,0,0,10,1,1,0,1,3,8
HON'BLE MR. JUSTICE B.R. GAVAI,5,7,2,4,0,1,7,5,9,2,2,18,0,0,0,0,4,4
