Land Acquisition & Requisition & Rent Act & Eviction Act Matters,Direct Taxes Matter & Indirect Taxes Matters,Labour & Service Matters & Matters Relating To Judiciary,Academic Matters & Admission/Transfer To Engineering And Medical Colleges,Letter Petition & Pil Matters,Election Matters,"Company Law, Mrtp, Trai, Sebi, Idrai & Rbi & Mercantile Laws, Commercial Transactions Including Banking & Consumer Protection",Arbitration & Compensation Matters,"Criminal Matters & State Excise-Trading In Liquor-Privileges, Licences-distilleries Breweries",Appeal Against Orders Of Statutory Bodies,Contempt Of Court Matters	,Ordinary Civil & Family Law & Personal Law Matters, Religious & Charitable Endowments,"Appointments Etc., Of Constitutional Functionaries & Statutory Appointments And Appointment Of Other Law Officers",Simple Money & Mortgage Matters Etc,Land Laws And Agricultural Tenancies,"MATTERS RELATING TO LEASES, GOVT. CONTRACTS & CONTRACTS BY LOCAL BODIES & RTI",Miscellaneous Bucket
Eviction,Income Tax,Workmen Compensation,Free and Compulsory Education,Interpretation,Representation of the People,Securitisation and Reconstruction of Financial Assets and Reinforcement of Security Interest,Arbitration & Conciliation,CrPC,Armed Forces Tribunal,Contempt of Court,Securities,Wakfs,Commissions of Inquiry,Money Lending,Environment,Right To Information,Karnataka Municipal Corporation
Rent,Excess Profit Tax,Factory,Reservation,,Co-operative Societies,NPA,M.V.,Corruption,Rajasthan Public Demands Recovery,Contempt of Courts,APMC,Waqfs,Panchayat Raj,Recovery of Debts and Bankruptcy,Urban Land (Ceiling and Regulation) Repeal,Information,Bombay Municipal Corporation
Rent Control,Business profit tax,Standing Order,Indian Medical Council,,Kerala Cooperative Societies,Sale of Goods,Arbitration and Conciliation,Essential Commodities,Army,Jammu and Kashmir Contempt of Courts,Competition,Orissa Hindu Religious Endowments,Constitution (Seventh Amendment),RDB,Bengal Tenancy,contract,National Security
Rajasthan Public Demands Recovery,Wealth Tax,States,Uttar Pradesh State Universities,,Maharashtra Cooperative Societies,Insurance,Jammu and Kashmir Arbitration,Securities,Statutory,,Hindu Marriage,Bombay Public Trusts,Government of India,Kerala Chitties,West Bengal Land Reforms,Freedom of Information,Maintenance of Internal Security
Resettlement,Gift Tax,Payment of Gratuity,Universities,,Societies Registration,Indian Contract,Fatal Accidents,Drugs and Cosmetics,Administrative Tribunals,,Muslim Marriage,Rajasthan Public Trust,Representation of People,Chits Funds,PPVFR,Data Protection,Limitation
Land Acquisition,Customs,Trade Unions,Transplantation of Human Organs,,Haryana Panchayati Raj,Companies,Displaced Persons (Compensation and Rehabilitation ),TADA,Border Security Force,,Christian Marriage,Religious Institutions and Endowment,National Green Tribunal,Hyderabad Jagirdars Debt Settlement,Air (Prevention and Control of Pollution),MMDR,Air Force
Rajasthan Urban Improvement,Sales Tax,Industrial Disputes,RTE,,Andhra Pradesh Societies Registration,Reserve Bank of India,Arbitration,POTA,Navy,,CPC,Major Port Trusts,NGT,Kerala Revenue Recovery,Water (Prevention and Control of Pollution),MINES AND MINERALS (DEVELOPMENT AND REGULATION) ACT,Mumbai Municipal Corporation
Bangalore Development Authority,Cess Acts,MRTU and PULP,Right to Education,,Tamil Nadu Panchayats (Second Amendment),SARFAESI,Conciliation,SAFEMA,AFT,,Code of Civil Procedure,Port Trusts,Road Transport Corporations,Presidency Towns Insolvency,EP,Registration,Indian Registration
BDA,Indian Tariff,ID,NCTE,,Tamil Nadu Panchayats,Rajasthan Cinemas (Regulation) Rules,AAC,COFEPOSA,BSF,,Motor Vehicles,Religious Institutions (Prevention of Misuse),West Bengal Taxation Tribunal,Provincial Insolvency,Environment (Protection),,Miscellaneous Provisions
